Entity,Code,Year,Above $10 a day,$8.30-$10 a day,$4.20-$8.30 a day,$3-$4.20 a day,Below $3 a day
Armenia,ARM,2001,313959,153102,1224224,745147,775368
Armenia,ARM,2002,325924,165300,1309206,766890,632480
Armenia,ARM,2003,295877,184675,1438844,790660,472444
Armenia,ARM,2004,502134,252677,1490860,591726,327503
Armenia,ARM,2005,616696,304044,1614504,418771,192385
Armenia,ARM,2006,663540,374739,1604013,343663,141145
Armenia,ARM,2007,859429,392997,1427892,312410,114672
Armenia,ARM,2008,944352,406036,1449416,225384,61912
Armenia,ARM,2009,698025,375738,1566605,330151,95481
Armenia,ARM,2010,673217,362817,1579216,339896,89654
Armenia,ARM,2011,755499,363868,1510529,303243,94761
Armenia,ARM,2012,790321,431008,1462914,264291,75566
Armenia,ARM,2013,885993,400783,1391648,254524,89052
Armenia,ARM,2014,905623,445618,1318615,240342,103602
Armenia,ARM,2015,1048772,433540,1237978,198607,85703
Armenia,ARM,2016,1242505,377242,1086163,211104,75286
Armenia,ARM,2017,979813,428303,1330455,170441,70388
Armenia,ARM,2018,966239,436441,1286358,193961,86001
Armenia,ARM,2019,837815,432859,1400670,219232,71924
Armenia,ARM,2020,759999,479258,1523106,154223,44914
Armenia,ARM,2021,812384,461812,1428278,197082,62744
Armenia,ARM,2022,840652,474492,1355669,242065,56322
Armenia,ARM,2023,823675,452848,1438231,192394,57152
Armenia,ARM,2024,1067417,527940,1264803,149549,23791
Australia,AUS,1981,14535255,89540,104463,29846,164156
Australia,AUS,1985,15330451,110518,157883,15789,173671
Australia,AUS,1989,16309984,117700,201773,50444,134515
Australia,AUS,1995,17518750,126034,144039,36010,180049
Australia,AUS,2001,18850657,77098,134923,38550,173472
Australia,AUS,2003,19267159,78883,138045,19721,216928
Australia,AUS,2004,19633731,39866,99663,19933,139529
Australia,AUS,2008,21036708,21249,63748,21249,106246
Australia,AUS,2010,21745337,66096,88126,22032,110159
Australia,AUS,2014,23193978,46951,70427,23476,140854
Australia,AUS,2016,23900617,48382,96764,24190,120955
Australia,AUS,2018,24638736,24963,149779,0,149780
Australia,AUS,2020,25238860,25649,102597,51299,230843
Austria,AUT,1994,7840885,15872,63489,0,15872
Austria,AUT,1995,7860847,15897,55637,7949,7948
Austria,AUT,1996,7903304,15918,31836,0,7959
Austria,AUT,1997,7896329,15936,31872,7968,15936
Austria,AUT,1998,7881068,23930,39884,15953,15954
Austria,AUT,1999,7944370,7992,15985,7992,15985
Austria,AUT,2000,7939462,24035,32046,8011,8012
Austria,AUT,2003,8058907,8329,21553,2323,30311
Austria,AUT,2004,8120825,16514,27352,602,6673
Austria,AUT,2005,8169094,17183,25457,3450,12645
Austria,AUT,2006,8219706,9563,20320,7035,12017
Austria,AUT,2007,8222588,7532,15697,18029,31641
Austria,AUT,2008,8227071,11810,34183,6067,42365
Austria,AUT,2009,8240470,17607,24126,3678,57442
Austria,AUT,2010,8278392,16063,20842,4649,43458
Austria,AUT,2011,8277029,27963,38397,8241,40013
Austria,AUT,2012,8308894,30925,32573,990,56609
